point_count,mean_y_offset,slope_std,up_share,density_std,curve_energy,burst_id,date,start,cluster
18188,0.31874250771335255,887530.2759538777,0.39641521882559927,0.03140687910476646,787672562345.2252,2024-05-17_2024-05-17 08:03:26-04:00,2024-05-17,2024-05-17 08:03:26-04:00,4
14,0.4760841957361722,19.467731769562448,0.42857142857142855,1.4401661021034318e-17,370.01637524877566,2024-05-17_2024-05-17 08:19:43-04:00,2024-05-17,2024-05-17 08:19:43-04:00,3
88,0.43101771589554666,2301.229661967053,0.42045454545454547,0.011532187804657382,5306076.253097787,2024-05-17_2024-05-17 08:19:47-04:00,2024-05-17,2024-05-17 08:19:47-04:00,3
49,0.4493488360779354,70.14921141714171,0.3469387755102041,0.016458172329222965,4898.369688594413,2024-05-17_2024-05-17 08:19:58-04:00,2024-05-17,2024-05-17 08:19:58-04:00,3
71,0.44902745801733474,206.78908322221824,0.4225352112676056,0.01634189220418762,42180.71940182249,2024-05-17_2024-05-17 08:20:09-04:00,2024-05-17,2024-05-17 08:20:09-04:00,3
104,0.46252771295215866,8115.702641955217,0.49038461538461536,0.012923490481389367,65927321.627388194,2024-05-17_2024-05-17 08:20:19-04:00,2024-05-17,2024-05-17 08:20:19-04:00,3
96,0.4665706400081399,790.3752826699508,0.53125,0.01087692841222134,626519.4891185772,2024-05-17_2024-05-17 08:20:29-04:00,2024-05-17,2024-05-17 08:20:29-04:00,3
17,0.47218656831604344,44.2709429271318,0.35294117647058826,0.037083833644477364,1954.9103280387028,2024-05-17_2024-05-17 08:20:39-04:00,2024-05-17,2024-05-17 08:20:39-04:00,0
81,0.4735966845031999,482.64057432246864,0.345679012345679,0.010255091188787745,231866.14495566976,2024-05-17_2024-05-17 08:22:47-04:00,2024-05-17,2024-05-17 08:22:47-04:00,3
802,0.431008470203801,2275.7178095594472,0.32169576059850374,0.016148836468555135,5173355.29624899,2024-05-17_2024-05-17 08:22:52-04:00,2024-05-17,2024-05-17 08:22:52-04:00,1
3297,0.4415124387872573,34314.25612241842,0.31028207461328483,0.011274029182010176,1177795027.1745887,2024-05-17_2024-05-17 08:23:02-04:00,2024-05-17,2024-05-17 08:23:02-04:00,4
917,0.44241488447595306,1667.2138527868146,0.30970556161395857,0.008969571235166934,2777265.4655034966,2024-05-17_2024-05-17 08:23:29-04:00,2024-05-17,2024-05-17 08:23:29-04:00,1
533,0.4730486519828316,13746.086388247913,0.2795497185741088,0.014277449470776393,188953497.6559567,2024-05-17_2024-05-17 08:23:38-04:00,2024-05-17,2024-05-17 08:23:38-04:00,1
63,0.41784473304473296,144.2092356016262,0.4444444444444444,0.01473772525214697,20555.91241507369,2024-05-17_2024-05-17 08:34:01-04:00,2024-05-17,2024-05-17 08:34:01-04:00,3
62,0.4066377622925148,204.61678401944923,0.46774193548387094,0.011778979731293894,41259.49621088772,2024-05-17_2024-05-17 08:34:09-04:00,2024-05-17,2024-05-17 08:34:09-04:00,3
52,0.457096203029707,150.717309349805,0.5,0.010755621238673635,22376.68270559732,2024-05-17_2024-05-17 08:34:16-04:00,2024-05-17,2024-05-17 08:34:16-04:00,3
69,0.3866681815886481,600.1071586934663,0.5217391304347826,0.01212550763092863,359410.01569110755,2024-05-17_2024-05-17 08:34:24-04:00,2024-05-17,2024-05-17 08:34:24-04:00,3
49,0.45549786878112875,164.70509990638496,0.4897959183673469,0.015526545285167477,27319.27793467602,2024-05-17_2024-05-17 08:34:33-04:00,2024-05-17,2024-05-17 08:34:33-04:00,3
56,0.42017375096409293,104.85077269057658,0.5178571428571429,0.017806195127475374,10963.153528315263,2024-05-17_2024-05-17 08:34:40-04:00,2024-05-17,2024-05-17 08:34:40-04:00,3
52,0.4436820735719117,291.220593677766,0.5576923076923077,0.016803915738503695,83672.11504208132,2024-05-17_2024-05-17 08:34:48-04:00,2024-05-17,2024-05-17 08:34:48-04:00,3
79,0.45528363610314443,564.3904153951222,0.4936708860759494,0.01400893794791672,319556.10118655226,2024-05-17_2024-05-17 08:34:56-04:00,2024-05-17,2024-05-17 08:34:56-04:00,3
88,0.3997043827294425,262.10142219214254,0.48863636363636365,0.012481658097236323,67991.04044162224,2024-05-17_2024-05-17 08:35:04-04:00,2024-05-17,2024-05-17 08:35:04-04:00,3
48,0.44565590845439845,385.6455966563476,0.4791666666666667,0.016874802674832108,146451.55299025122,2024-05-17_2024-05-17 08:35:14-04:00,2024-05-17,2024-05-17 08:35:14-04:00,3
8166,0.22795635868234138,45131.70594780763,0.4737937790840069,0.019222836809283335,2036662542.8104997,2024-05-17_2024-05-17T08:00:00-04:00,2024-05-17,2024-05-17 08:00:00-04:00,4
923,0.343967019525436,1135.0804993788674,0.3163596966413868,0.01848003381040884,1288428.4716354876,2024-05-17_2024-05-17T08:00:53-04:00,2024-05-17,2024-05-17 08:00:53-04:00,1
62,0.24094974078341017,100.69154977842973,0.1935483870967742,0.053290934412900566,10157.220913131223,2024-05-17_2024-05-17T08:02:00-04:00,2024-05-17,2024-05-17 08:02:00-04:00,3
