lag_bucket,count,median_lag,return_20d_median,return_20d_mean,return_20d_hit_gt20,return_60d_median,return_60d_mean,return_60d_hit_gt20,return_120d_median,return_120d_mean,return_120d_hit_gt20,return_250d_median,return_250d_mean,return_250d_hit_gt20,return_360d_median,return_360d_mean,return_360d_hit_gt20
<1d,779,0.066875,-20.01953125,-17.163435721462893,0.0,-14.760746147607462,-17.74704544820662,0.0,-21.46866230121609,-15.913137055321053,0.0,-39.200187090739,-27.232165529410384,9.370988446726573,-52.254443405051454,-47.09689867721482,0.0
1-3d,128,2.4591319444444446,-8.87334315169367,-9.361135176601048,0.0,-18.29896907216494,-18.484492980327794,0.0,14.027982326951394,12.26213929930561,0.0,11.966126656848308,8.598716409989414,0.0,-58.12500000000001,-58.12500000000001,0.0
3-7d,121,5.496365740740741,-2.9904848210240087,-2.193947956195439,2.479338842975207,-4.357204486626398,-9.200926059789843,0.0,-4.84821024014499,2.729036365099104,2.479338842975207,-1.1198945981554689,-9.543508108197098,42.14876033057851,-48.32804712279112,-49.749815825399565,0.0
7-14d,109,12.986643518518518,8.443854995579137,8.107170412046704,16.51376146788991,-4.678362573099415,-10.367483488415067,0.0,9.681697612732076,7.2058261433786415,14.678899082568808,-40.74853801169591,-17.123952951073424,41.284403669724774,-42.22222222222223,-45.91692537997732,0.0
14-30d,209,23.012534722222224,74.07407407407408,62.39319782729027,99.52153110047847,1.4814814814814836,-0.19429547017004825,0.0,22.321929332585523,18.44690907099679,50.23923444976076,-23.456790123456795,-32.7798341176255,0.0,-35.55555555555555,-34.87659256743744,0.0
30-60d,424,40.022824074074066,13.773584905660384,17.592286001621787,40.80188679245283,4.968944099378891,7.995720313129494,13.443396226415095,5.800806772342493,7.8943077571882485,8.726415094339622,-13.082674868749,-13.28440852022218,0.0,-35.185185185185176,-36.862267404947694,0.0
60-90d,384,77.00302083333334,-18.24352118469765,-19.48696430302509,1.3020833333333335,13.437810945273633,17.685750889289523,30.46875,-1.8013856812933104,-1.081184916791682,3.125,-53.090069284064654,-40.5334866126418,0.0,-32.95238095238094,-34.002847217657774,0.0
