cluster_label,pair_count,unique_bursts,unique_tweets,mean_lag,median_lag,lag_p10,lag_p90,share_lag_lt7,share_lag_7_30,share_lag_30_90,share_lag_ge90,median_duration,pct_long_dur
C0,15623,293,163,40.196504108822225,37.244733796296295,2.4107268518518525,80.45723379629631,14.561863918581578,18.600780899955193,66.83735518146324,0.0,1.0,1.107341739742687
C1,8789,141,179,39.56241869571813,41.153645833333336,1.1832407407407408,82.09068055555556,24.382751166230516,18.921378996472864,56.69586983729662,0.0,103.0,62.89680282170895
C2,10628,187,179,37.264993977735266,36.20754050925926,6.032831018518518,69.23750462962963,11.328566051938276,23.993225442228077,64.67820850583365,0.0,0.0,2.0417764395935265
C3,60759,1167,179,38.357392851379124,38.18307870370371,1.3744282407407409,81.21824074074074,20.976316265902994,21.79594792541023,57.227735808686774,0.0,3.0,5.182771276683289
C4,4710,82,179,38.01517180496579,31.057349537037037,1.0621296296296296,83.02772569444446,34.03397027600849,15.54140127388535,50.424628450106155,0.0,359.0,87.36730360934183
C5,7804,145,182,37.98295971201853,36.451770833333335,5.176395833333334,69.40316666666666,12.467965146078933,16.45310097385956,71.07893388006151,0.0,0.0,0.9610456176319835
unknown,2606,139,106,7.597605752217106,2.4508506944444446,0.1158217592592592,25.535208333333337,70.8365310821182,23.48426707597851,5.6792018419033,0.0,0.0,0.0
