cluster,bursts,mean_offset,slope_std,density_std,up_share
0,792,0.4700953065243416,2791.685099645758,0.022269756240125463,0.2840309907544756
1,239,0.22227979908782605,263526.9925697555,0.02526585551470874,0.39503394589446733
2,512,0.4809390877995551,32521.166910321444,0.06968426499283038,0.17334428057482545
3,2451,0.30659303192463927,8193.205237580187,0.03768731948299167,0.3865551580785846
4,126,0.23327963548395197,559258.70628898,0.029305399378585367,0.4038342718636101
5,359,0.4842148198982637,68880.174184227,0.05970819395276379,0.21338003376555875
