start,end,max,count,date,burst_id,cluster,close,close_fwd_1d,return_1d,close_fwd_5d,return_5d,close_fwd_20d,return_20d,close_fwd_60d,return_60d,close_fwd_120d,return_120d,close_fwd_250d,return_250d,close_fwd_360d,return_360d,close_fwd_500d,return_500d,duration_seconds
2024-05-14 08:00:00-04:00,2024-05-14 08:00:48-04:00,80.0,49200,2024-05-14,2024-05-14_2024-05-14 08:00:00-04:00,4.0,51.0,35.8,-29.80392156862745,21.65,-57.549019607843135,26.0,-49.01960784313726,21.9896,-56.88313725490196,22.2701,-56.33313725490196,28.66,-43.803921568627445,22.869,-55.15882352941177,,,48.0
2024-05-14 08:02:00-04:00,2024-05-14 08:02:01-04:00,79.9997,365,2024-05-14,2024-05-14_2024-05-14 08:02:00-04:00,3.0,51.0,35.8,-29.80392156862745,21.65,-57.549019607843135,26.0,-49.01960784313726,21.9896,-56.88313725490196,22.2701,-56.33313725490196,28.66,-43.803921568627445,22.869,-55.15882352941177,,,1.0
2024-05-14 08:05:00-04:00,2024-05-14 08:05:00-04:00,70.0,17,2024-05-14,2024-05-14_2024-05-14 08:05:00-04:00,,51.0,35.8,-29.80392156862745,21.65,-57.549019607843135,26.0,-49.01960784313726,21.9896,-56.88313725490196,22.2701,-56.33313725490196,28.66,-43.803921568627445,22.869,-55.15882352941177,,,0.0
2024-05-14 08:33:57-04:00,2024-05-14 08:34:08-04:00,69.9,290,2024-05-14,2024-05-14_2024-05-14 08:33:57-04:00,3.0,51.0,35.8,-29.80392156862745,21.65,-57.549019607843135,26.0,-49.01960784313726,21.9896,-56.88313725490196,22.2701,-56.33313725490196,28.66,-43.803921568627445,22.869,-55.15882352941177,,,11.0
2024-05-14 08:34:11-04:00,2024-05-14 08:34:15-04:00,69.38,91,2024-05-14,2024-05-14_2024-05-14 08:34:11-04:00,3.0,51.0,35.8,-29.80392156862745,21.65,-57.549019607843135,26.0,-49.01960784313726,21.9896,-56.88313725490196,22.2701,-56.33313725490196,28.66,-43.803921568627445,22.869,-55.15882352941177,,,4.0
2024-05-14 08:53:37-04:00,2024-05-14 08:54:03-04:00,69.49,331,2024-05-14,2024-05-14_2024-05-14 08:53:37-04:00,3.0,51.0,35.8,-29.80392156862745,21.65,-57.549019607843135,26.0,-49.01960784313726,21.9896,-56.88313725490196,22.2701,-56.33313725490196,28.66,-43.803921568627445,22.869,-55.15882352941177,,,26.0
2024-05-14 08:54:28-04:00,2024-05-14 08:59:54-04:00,72.0,4235,2024-05-14,2024-05-14_2024-05-14 08:54:28-04:00,4.0,51.0,35.8,-29.80392156862745,21.65,-57.549019607843135,26.0,-49.01960784313726,21.9896,-56.88313725490196,22.2701,-56.33313725490196,28.66,-43.803921568627445,22.869,-55.15882352941177,,,326.0
2024-05-14 09:14:56-04:00,2024-05-14 09:14:57-04:00,69.3,20,2024-05-14,2024-05-14_2024-05-14 09:14:56-04:00,3.0,51.0,35.8,-29.80392156862745,21.65,-57.549019607843135,26.0,-49.01960784313726,21.9896,-56.88313725490196,22.2701,-56.33313725490196,28.66,-43.803921568627445,22.869,-55.15882352941177,,,1.0
2024-05-14 09:14:59-04:00,2024-05-14 09:16:02-04:00,69.75,626,2024-05-14,2024-05-14_2024-05-14 09:14:59-04:00,1.0,51.0,35.8,-29.80392156862745,21.65,-57.549019607843135,26.0,-49.01960784313726,21.9896,-56.88313725490196,22.2701,-56.33313725490196,28.66,-43.803921568627445,22.869,-55.15882352941177,,,63.0
2024-05-14 09:16:04-04:00,2024-05-14 09:16:26-04:00,69.45,199,2024-05-14,2024-05-14_2024-05-14 09:16:04-04:00,3.0,51.0,35.8,-29.80392156862745,21.65,-57.549019607843135,26.0,-49.01960784313726,21.9896,-56.88313725490196,22.2701,-56.33313725490196,28.66,-43.803921568627445,22.869,-55.15882352941177,,,22.0
