burst_id,date,mean_x,mean_y,var_x,var_y,size,cluster
2021-01-25_2021-01-25T08:31:11-05:00,2021-01-25,0.6476565333333334,0.33990147783250657,0.1403956926113771,0.11114885906800287,7,3
2021-01-25_2021-01-25T08:31:18-05:00,2021-01-25,0.5189038375384615,0.656987179487147,0.08071351999677998,0.12958044871794397,26,3
2021-01-25_2021-01-25T08:31:37-05:00,2021-01-25,0.49361096121637427,0.5893269230769181,0.08894713790962873,0.06945427744682595,38,3
2021-01-25_2021-01-25T08:31:57-05:00,2021-01-25,0.34627264,0.6176470588235173,0.051913557317746675,0.2284890426758916,6,3
2021-01-25_2021-01-25T08:32:00-05:00,2021-01-25,0.4853598150489435,0.6278180237612283,0.08713967370520606,0.046957004914433415,493,3
2021-01-25_2021-01-25T08:36:34-05:00,2021-01-25,0.629679104,0.0,0.07910060296975154,0.0,2,5
2021-01-25_2021-01-25T09:01:43-05:00,2021-01-25,0.5057775446903484,0.7262075134168159,0.08756726234991434,0.05613861750617163,559,1
2021-01-25_2021-01-25T09:02:06-05:00,2021-01-25,0.44541146150833777,0.7456792533398363,0.08113601371376318,0.04545990379617236,338,3
2021-01-25_2021-01-25T09:02:19-05:00,2021-01-25,0.4758181816470588,0.8564558823529445,0.07620626779537527,0.06431076544662151,136,3
2021-01-26_2021-01-26T08:00:06-05:00,2021-01-26,0.04122083636848606,0.6533464970865519,0.013081359749590096,0.05012738757963096,1285,1
2021-01-26_2021-01-26T08:01:59-05:00,2021-01-26,0.053778688,0.0,,,1,2
2021-01-26_2021-01-26T08:02:02-05:00,2021-01-26,0.184886016,0.0,,,1,2
2021-01-26_2021-01-26T08:02:06-05:00,2021-01-26,0.4104836996491228,0.7015000000000002,0.0975545689099968,0.14715517430503253,12,3
2021-01-26_2021-01-26T08:02:46-05:00,2021-01-26,0.4334638140076628,0.6931034482758648,0.08606369422786339,0.0872078817733992,29,3
2021-01-26_2021-01-26T08:04:00-05:00,2021-01-26,0.44424925850334934,0.3976725146198742,0.08830826440098877,0.06007219955238055,19,3
2021-01-26_2021-01-26T08:05:07-05:00,2021-01-26,0.9905472,0.0,,,1,5
2021-01-26_2021-01-26T08:05:26-05:00,2021-01-26,0.5532227374545454,0.410928124999995,0.0751884107030671,0.06440414724798403,32,3
2021-01-26_2021-01-26T08:07:27-05:00,2021-01-26,0.41033062647342994,0.7541371158392516,0.07072036858364338,0.08314766981185025,18,3
2021-01-26_2021-01-26T08:17:05-05:00,2021-01-26,0.011975168,0.0,,,1,2
2021-01-27_2021-01-27T08:37:39-05:00,2021-01-27,0.4687706871466667,0.5717373611111111,0.07307995448524578,0.14269676095887862,60,3
2021-01-27_2021-01-27T08:38:31-05:00,2021-01-27,0.778254848,0.5,0.0659203053753467,0.5,2,0
2021-01-27_2021-01-27T08:38:40-05:00,2021-01-27,0.178951808,0.5,0.007578999293247492,0.5,2,0
2021-01-27_2021-01-27T08:39:04-05:00,2021-01-27,0.4867999615238095,0.6175302833188784,0.10392651059011335,0.13248862998692704,48,3
2021-01-27_2021-01-27T08:40:05-05:00,2021-01-27,0.37593512960000003,0.39747368421052637,0.045412562391952585,0.293401024930748,5,3
2021-01-27_2021-01-27T08:40:09-05:00,2021-01-27,0.4931814912,0.40195767195767196,0.10724431629229755,0.28489654544945536,5,0
2021-01-27_2021-01-27T08:40:31-05:00,2021-01-27,0.5098468471374663,0.5224990328576775,0.08176696021055342,0.168715461434016,53,3
2021-01-27_2021-01-27T08:44:09-05:00,2021-01-27,0.6021359359999999,0.3490833333333334,0.04743591093602223,0.25422404166666673,6,3
2021-01-27_2021-01-27T08:44:20-05:00,2021-01-27,0.290749056,0.5,0.01652518950040371,0.5,2,0
2021-01-27_2021-01-27T08:45:03-05:00,2021-01-27,0.438771867954023,0.5375087966220972,0.07841867160033739,0.14092711334987715,58,3
2021-01-27_2021-01-27T08:49:30-05:00,2021-01-27,0.5536448,0.4658356417359186,0.0863232125865383,0.29244966915027754,4,0
2021-01-27_2021-01-27T08:49:44-05:00,2021-01-27,0.534218242509804,0.4982849535603715,0.08926464371219318,0.1522006323879815,34,3
2021-01-27_2021-01-27T08:50:30-05:00,2021-01-27,0.21652394666666666,0.3333333333333333,0.0260260614190749,0.33333333333333337,3,3
2021-01-27_2021-01-27T08:50:36-05:00,2021-01-27,0.651956352,0.5,0.01782731191173119,0.5,2,0
2021-01-27_2021-01-27T08:57:10-05:00,2021-01-27,0.6146385962666667,0.6296801388888889,0.08426362786897128,0.15489068812491744,15,3
2021-01-27_2021-01-27T08:57:56-05:00,2021-01-27,0.5064397724444444,0.5882086958695871,0.07035145644649879,0.16376464248745592,18,3
2021-01-27_2021-01-27T09:03:19-05:00,2021-01-27,0.5879341333333333,0.11633958333333334,0.05853700946281433,0.05853637195199279,24,5
2021-01-27_2021-01-27T09:05:14-05:00,2021-01-27,0.4041693624615385,0.19735115911485773,0.09611279795176152,0.11237431906970961,52,3
2021-01-27_2021-01-27T09:05:39-05:00,2021-01-27,0.47348818823529415,0.08174361711727009,0.07012145781479448,0.05607812492822757,17,3
2021-01-27_2021-01-27T09:05:47-05:00,2021-01-27,0.5406005405405405,0.11476018330792076,0.0672668453498472,0.05761155669379315,74,3
