cluster,notional_bucket,return_120d
0.0,Q1,-36.30027932960893
0.0,Q2,10.093896713615024
0.0,Q3,
1.0,Q1,-48.628191899020024
1.0,Q2,4.1942066878797615
1.0,Q3,9.681697612732076
2.0,Q1,-49.65551794647095
2.0,Q2,
2.0,Q3,9.681697612732076
3.0,Q1,-41.66622341674099
3.0,Q2,2.7192841814459463
3.0,Q3,9.681697612732076
4.0,Q1,-49.65551794647095
4.0,Q2,10.093896713615024
4.0,Q3,-46.31670829225544
5.0,Q1,-46.31670829225544
5.0,Q2,
5.0,Q3,9.681697612732076
