month,count,auc,median_return_120d,median_prob
2021-01,113,1.0,-34.70205479452056,1.0387636946847672e-08
2021-02,132,0.9896599264705882,54.22641509433961,0.14873607244420584
2021-03,336,0.7876656863998636,-1.8013856812933104,0.2444296666556558
2021-04,292,1.0,4.217233009708732,0.2880088672109457
2021-10,153,0.7914285714285714,-11.690742148663668,0.2448479441838452
2021-11,51,,-41.14611872146119,0.1885181433534138
2021-12,9,,-2.452408373416437,0.3207642931362895
2022-01,16,0.8717948717948718,-9.370424597364568,0.30172622146085964
2022-02,7,,24.260647499794064,0.2833332914273259
2022-03,207,0.9851883199322894,-26.6019164330878,0.2267314574410558
2022-04,233,,-30.69716175254892,0.2471572553564972
2022-05,160,0.8816447779862414,-4.076990376202971,0.36654414530643153
2022-06,273,,-26.39363817097416,0.3762255472967917
2022-07,79,,-43.7617554858934,0.3276482637935073
2022-08,4,,-48.90885455113042,0.6740479913335671
2022-10,3,,-33.9112343966713,0.5552338207917245
2023-03,31,,-23.998294970162,0.4204962655199638
2024-05,280,0.2617410309718002,9.681697612732076,0.4755804756741309
2024-06,275,0.39570473251028804,14.027982326951394,0.4830874230410336
2024-07,1,,24.52684301411523,0.4717668753028423
2024-12,1,,7.175775416735153,0.4826309762474568
