detection_time,symbol,detection_mode,spectral_power,roc_value,volatility,volume_spike,price_range,venues,hybrid_primary_venue,hybrid_primary_samples,hybrid_primary_band_ratio,hybrid_primary_band_power,hybrid_primary_total_power,hybrid_confirm_venue,hybrid_confirm_samples,hybrid_confirm_band_ratio,hybrid_confirm_band_power,hybrid_confirm_total_power,hybrid_confirm_sample_ratio,hybrid_eligible
2024-05-13T12:00:42.050Z,GME,hybrid,0.0006706971254265996,0.007126948775055686,0.013020947942006523,1,7.902999999999999,EDGX|CBOE|OTC,OTC,92,0.9908231808095559,0.0006706971254265996,0.0006769089968995315,EDGX,4991,0.6621450103675397,0.10446178454658835,0.15776269987839112,54.25,1
2024-05-13T13:30:42.109Z,GME,hybrid,0.0024281564181116155,0.017665130568356408,0.008642114349144296,1,1.4800000000000004,EDGX|CBOE|OTC,OTC,451,0.565140475476276,0.0024281564181116155,0.004296553730407064,EDGX,3999,0.3692024652407609,0.004334062617181941,0.011738986126096564,8.866962305986696,1
2024-05-13T13:30:57.125Z,GME,hybrid,0.007935599832038644,0.007433489827855936,0.007791958470842396,1,1.3300000000000018,EDGX|CBOE|OTC,OTC,450,0.5764629475370178,0.007935599832038644,0.013766018901898385,EDGX,5556,0.38190102151148975,0.007298401890576883,0.019110715812414514,12.346666666666666,1
2024-05-13T13:31:07.131Z,GME,hybrid,0.002232456336716918,0.008310249307479258,0.007191383877126054,1,1.3300000000000018,EDGX|CBOE|OTC,OTC,422,0.5631462238177755,0.002232456336716918,0.0039642569590226055,EDGX,5813,0.26935131369910703,0.003344377779782082,0.012416415327077612,13.774881516587678,1
2024-05-13T13:31:12.162Z,GME,hybrid,0.00807062867792818,0.011363636363636331,0.001637920156744533,1,1.3300000000000018,EDGX|CBOE|OTC,OTC,321,0.5187967088079543,0.00807062867792818,0.015556437696900904,EDGX,3209,0.2832245490914612,0.0013225235533987703,0.004669523025603582,9.996884735202492,1
2024-05-13T13:31:17.176Z,GME,hybrid,0.00454292281556629,0.007347254447022341,0.0016690643497963575,1,1.3300000000000018,EDGX|CBOE|OTC,OTC,314,0.3926771929140311,0.00454292281556629,0.011569102808985583,EDGX,3083,0.2901291696905312,0.001444624251789532,0.004979245118063975,9.818471337579618,1
2024-05-13T13:31:32.191Z,GME,hybrid,0.0027565195847851286,0.009534928974508698,0.0013988488095813172,1,0.629999999999999,EDGX|CBOE|OTC,OTC,390,0.5849991845833697,0.0027565195847851286,0.004712005858176183,EDGX,3045,0.3126468118948017,0.0007560904688167482,0.002418353362487364,7.8076923076923075,1
2024-05-13T13:32:07.278Z,GME,hybrid,0.0014085614359724942,0.007757951900698188,0.0013348291339301771,1,0.46999999999999886,EDGX|CBOE|OTC,OTC,251,0.6194149656110137,0.0014085614359724942,0.00227401905697102,EDGX,2794,0.3741326257915006,0.000609968262480301,0.0016303530364128911,11.131474103585658,1
2024-05-13T13:32:22.287Z,GME,hybrid,0.002897688848664907,0.014700193423597777,0.001119010545311702,1,0.6000000000000014,EDGX|CBOE|OTC,OTC,317,0.7239009889313118,0.002897688848664907,0.004002880080247904,EDGX,2577,0.39717180182665046,0.0004414624562378752,0.0011115151030549643,8.129337539432177,1
2024-05-13T13:32:32.305Z,GME,hybrid,0.0014312078914585434,0.013359528487229858,0.00111519013118549,1,0.9299999999999997,EDGX|CBOE|OTC,OTC,375,0.6646932184156424,0.0014312078914585434,0.0021531856378344877,EDGX,2704,0.33514620108922183,0.0006355660619958154,0.0018963845030325035,7.210666666666667,1
