start,end,max,count,date
2024-05-17 16:22:56-04:00,2024-05-17 16:22:56-04:00,30.54,3,2024-05-17
2024-05-17 16:23:06-04:00,2024-05-17 16:23:06-04:00,30.48,4,2024-05-17
2024-05-17 16:23:19-04:00,2024-05-17 16:23:19-04:00,30.41,2,2024-05-17
2024-05-17 16:23:27-04:00,2024-05-17 16:23:27-04:00,30.38,2,2024-05-17
2024-05-17 16:23:33-04:00,2024-05-17 16:23:33-04:00,30.31,1,2024-05-17
2024-05-17 16:24:15-04:00,2024-05-17 16:24:15-04:00,30.25,1,2024-05-17
2024-05-17 16:24:24-04:00,2024-05-17 16:24:24-04:00,30.05,1,2024-05-17
2024-05-17 16:24:30-04:00,2024-05-17 16:24:30-04:00,30.0,2,2024-05-17
2024-05-17 16:24:46-04:00,2024-05-17 16:24:46-04:00,29.8,2,2024-05-17
2024-05-17 16:24:52-04:00,2024-05-17 16:24:52-04:00,29.7,2,2024-05-17
2024-05-17 16:25:00-04:00,2024-05-17 16:25:00-04:00,29.7,1,2024-05-17
2024-05-17 16:25:08-04:00,2024-05-17 16:25:08-04:00,29.59,2,2024-05-17
2024-05-17 16:25:15-04:00,2024-05-17 16:25:15-04:00,29.38,2,2024-05-17
2024-05-17 16:25:55-04:00,2024-05-17 16:25:55-04:00,29.35,1,2024-05-17
2024-05-17 16:26:06-04:00,2024-05-17 16:26:06-04:00,29.3,1,2024-05-17
2024-05-17 16:26:12-04:00,2024-05-17 16:26:12-04:00,29.25,4,2024-05-17
2024-05-17 16:26:31-04:00,2024-05-17 16:26:31-04:00,29.0,1,2024-05-17
2024-05-17 16:26:38-04:00,2024-05-17 16:26:38-04:00,28.85,3,2024-05-17
2024-05-17 16:39:14-04:00,2024-05-17 16:39:19-04:00,32.23,19,2024-05-17
2024-05-17 16:39:23-04:00,2024-05-17 16:39:25-04:00,34.005,21,2024-05-17
2024-05-17 16:39:34-04:00,2024-05-17 16:39:34-04:00,33.605,3,2024-05-17
2024-05-17 16:39:43-04:00,2024-05-17 16:39:43-04:00,33.915,1,2024-05-17
