start,end,max,count,date
2024-05-17 08:27:18-04:00,2024-05-17 08:27:18-04:00,30.17,6,2024-05-17
2024-05-17 08:27:31-04:00,2024-05-17 08:27:31-04:00,30.08,4,2024-05-17
2024-05-17 08:27:41-04:00,2024-05-17 08:27:41-04:00,30.2,5,2024-05-17
2024-05-17 08:27:50-04:00,2024-05-17 08:27:50-04:00,29.64,4,2024-05-17
2024-05-17 08:27:59-04:00,2024-05-17 08:27:59-04:00,29.71,8,2024-05-17
2024-05-17 08:28:08-04:00,2024-05-17 08:28:08-04:00,29.72,6,2024-05-17
2024-05-17 08:28:18-04:00,2024-05-17 08:28:18-04:00,29.72,2,2024-05-17
2024-05-17 08:28:28-04:00,2024-05-17 08:28:28-04:00,29.72,4,2024-05-17
2024-05-17 08:28:37-04:00,2024-05-17 08:28:37-04:00,29.64,7,2024-05-17
2024-05-17 08:28:46-04:00,2024-05-17 08:28:46-04:00,29.72,7,2024-05-17
2024-05-17 08:28:52-04:00,2024-05-17 08:28:52-04:00,29.62,2,2024-05-17
2024-05-17 08:29:01-04:00,2024-05-17 08:29:01-04:00,29.71,4,2024-05-17
2024-05-17 08:29:11-04:00,2024-05-17 08:29:11-04:00,29.62,5,2024-05-17
2024-05-17 08:29:21-04:00,2024-05-17 08:29:21-04:00,29.71,8,2024-05-17
2024-05-17 08:31:04-04:00,2024-05-17 08:31:04-04:00,29.71,4,2024-05-17
2024-05-17 08:31:14-04:00,2024-05-17 08:31:14-04:00,29.71,5,2024-05-17
2024-05-17 08:31:24-04:00,2024-05-17 08:31:24-04:00,29.71,1,2024-05-17
2024-05-17 08:31:40-04:00,2024-05-17 08:31:40-04:00,29.71,2,2024-05-17
2024-05-17 08:31:50-04:00,2024-05-17 08:31:50-04:00,29.62,2,2024-05-17
2024-05-17 08:34:01-04:00,2024-05-17 08:34:07-04:00,29.8,67,2024-05-17
2024-05-17 08:34:09-04:00,2024-05-17 08:34:14-04:00,30.05,74,2024-05-17
2024-05-17 08:34:16-04:00,2024-05-17 08:34:21-04:00,30.0,68,2024-05-17
2024-05-17 08:34:24-04:00,2024-05-17 08:34:30-04:00,30.19,73,2024-05-17
2024-05-17 08:34:33-04:00,2024-05-17 08:34:37-04:00,29.8,55,2024-05-17
2024-05-17 08:34:40-04:00,2024-05-17 08:34:45-04:00,30.0,63,2024-05-17
2024-05-17 08:34:48-04:00,2024-05-17 08:34:53-04:00,30.0,62,2024-05-17
2024-05-17 08:34:56-04:00,2024-05-17 08:35:02-04:00,29.8,85,2024-05-17
2024-05-17 08:35:04-04:00,2024-05-17 08:35:11-04:00,30.08,96,2024-05-17
2024-05-17 08:35:14-04:00,2024-05-17 08:35:18-04:00,29.8,54,2024-05-17
2024-05-17 08:39:49-04:00,2024-05-17 08:39:49-04:00,28.65,10,2024-05-17
2024-05-17 08:40:26-04:00,2024-05-17 08:40:26-04:00,28.7,5,2024-05-17
2024-05-17 08:40:46-04:00,2024-05-17 08:40:46-04:00,28.75,3,2024-05-17
2024-06-07 08:00:00-04:00,2024-06-07 08:00:01-04:00,47.8721,19764,2024-06-07
2024-06-07 08:00:05-04:00,2024-06-07 08:00:08-04:00,48.26,10106,2024-06-07
2024-06-07 08:00:50-04:00,2024-06-07 08:00:51-04:00,47.8129,1390,2024-06-07
2024-06-07 08:00:54-04:00,2024-06-07 08:00:55-04:00,47.7927,2690,2024-06-07
2024-06-07 08:01:38-04:00,2024-06-07 08:01:38-04:00,48.82,367,2024-06-07
2024-06-07 08:01:41-04:00,2024-06-07 08:01:41-04:00,48.5494,59,2024-06-07
2024-06-07 08:02:51-04:00,2024-06-07 08:02:51-04:00,46.55,14,2024-06-07
2024-06-07 08:04:17-04:00,2024-06-07 08:04:22-04:00,48.4899,101,2024-06-07
2024-06-07 08:04:25-04:00,2024-06-07 08:04:32-04:00,48.81,147,2024-06-07
2024-06-07 08:04:35-04:00,2024-06-07 08:04:42-04:00,48.7,196,2024-06-07
2024-06-07 08:04:45-04:00,2024-06-07 08:04:52-04:00,48.81,207,2024-06-07
2024-06-07 08:04:56-04:00,2024-06-07 08:04:58-04:00,48.8,77,2024-06-07
2024-06-07 08:05:26-04:00,2024-06-07 08:05:26-04:00,48.54,42,2024-06-07
2024-06-07 08:26:23-04:00,2024-06-07 08:26:26-04:00,48.8,57,2024-06-07
2024-06-07 08:26:56-04:00,2024-06-07 08:27:02-04:00,48.82,114,2024-06-07
2024-06-07 08:27:33-04:00,2024-06-07 08:27:36-04:00,48.8,58,2024-06-07
2024-06-07 08:28:04-04:00,2024-06-07 08:28:04-04:00,48.37,13,2024-06-07
2024-06-07 08:28:34-04:00,2024-06-07 08:28:38-04:00,48.75,89,2024-06-07
2024-06-07 08:29:07-04:00,2024-06-07 08:29:10-04:00,48.79,69,2024-06-07
2024-06-07 08:29:39-04:00,2024-06-07 08:29:41-04:00,48.81,56,2024-06-07
2024-06-07 08:30:10-04:00,2024-06-07 08:30:12-04:00,48.54,38,2024-06-07
2024-06-07 08:30:39-04:00,2024-06-07 08:30:42-04:00,48.8,57,2024-06-07
2024-06-07 08:45:24-04:00,2024-06-07 08:45:24-04:00,60.0,19,2024-06-07
2024-06-07 08:45:40-04:00,2024-06-07 08:45:40-04:00,60.0,24,2024-06-07
2024-06-07 08:45:58-04:00,2024-06-07 08:45:58-04:00,60.01,19,2024-06-07
2024-06-07 08:46:12-04:00,2024-06-07 08:46:12-04:00,60.92,8,2024-06-07
2024-06-07 08:46:25-04:00,2024-06-07 08:46:25-04:00,61.0,20,2024-06-07
2024-06-07 08:46:41-04:00,2024-06-07 08:46:41-04:00,61.0,10,2024-06-07
2024-06-07 08:46:57-04:00,2024-06-07 08:46:57-04:00,61.01,8,2024-06-07
2024-06-07 08:47:11-04:00,2024-06-07 08:47:11-04:00,61.07,5,2024-06-07
2024-06-07 08:47:27-04:00,2024-06-07 08:47:27-04:00,61.16,13,2024-06-07
2024-06-07 08:47:43-04:00,2024-06-07 08:47:43-04:00,61.26,12,2024-06-07
2024-06-07 08:47:55-04:00,2024-06-07 08:47:55-04:00,61.48,10,2024-06-07
2024-06-07 08:48:11-04:00,2024-06-07 08:48:11-04:00,61.53,10,2024-06-07
2024-06-07 08:48:25-04:00,2024-06-07 08:48:25-04:00,61.62,6,2024-06-07
2024-06-07 08:48:38-04:00,2024-06-07 08:48:38-04:00,61.69,10,2024-06-07
2024-06-07 08:48:53-04:00,2024-06-07 08:48:53-04:00,61.7,14,2024-06-07
